Symbol,Series,Security Name,Band,Remarks,,Check
ZENITHEXPO,BE,Zenith Exports Limited,5,-,5,0
ZICOM,BE,Zicom Electronic Security Systems Limited,5,GSM - Stage I,5,0
ZODIAC,SM,Zodiac Energy Limited,5,-,5,0
ABAN,EQ,Aban Offshore Limited,10,-,10,0
AIRAN,EQ,Airan Limited,10,-,10,0
ALANKIT,EQ,Alankit Limited,10,-,10,0
ANDHRACEMT,EQ,Andhra Cements Limited,10,-,10,0
ANSALAPI,EQ,Ansal Properties & Infrastructure Limited,10,-,10,0
ARCHIES,EQ,Archies Limited,10,-,10,0
ARIHANT,EQ,Arihant Foundations & Housing Limited,10,-,10,0
ASTRON,EQ,Astron Paper & Board Mill Limited,10,-,10,0
BFUTILITIE,EQ,BF Utilities Limited,10,-,10,0
BIL,EQ,Bhartiya International Limited,10,-,10,0
BILENERGY,EQ,Bil Energy Systems Limited,10,-,10,0
BINDALAGRO,EQ,Oswal Chemicals & Fertilizers Limited,10,-,10,0
BKMINDST,EQ,Bkm Industries Limited,10,-,10,0
BRFL,EQ,Bombay Rayon Fashions Limited,10,-,10,0
BSELINFRA,EQ,BSEL Infrastructure Realty Limited,10,-,10,0
BSL,EQ,BSL Limited,10,-,10,0
CALSOFT,EQ,California Software Company Limited,10,-,10,0
CAMLINFINE,EQ,Camlin Fine Sciences Limited,10,-,10,0
CELEBRITY,EQ,Celebrity Fashions Limited,10,-,10,0
CENTEXT,EQ,Century Extrusions Limited,10,-,10,0
CINEVISTA,EQ,Cinevista Limited,10,-,10,0
CKPLEISURE,SM,CKP Leisure Limited,10,-,10,0
CMICABLES,EQ,CMI Limited,10,-,10,0
COUNCODOS,EQ,Country Condo's Limited,10,-,10,0
CTE,EQ,Cambridge Technology Enterprises Limited,10,-,10,0
DEN,EQ,Den Networks Limited,10,-,10,0
DHARSUGAR,EQ,Dharani Sugars & Chemicals Limited,10,-,10,0
DIGISPICE,EQ,DiGiSPICE Technologies Limited,10,-,10,0
DSSL,EQ,Dynacons Systems & Solutions Limited,10,-,10,0
ENERGYDEV,EQ,Energy Development Company Limited,10,-,10,0
EON,EQ,Eon Electric Limited,10,-,10,0
EROSMEDIA,EQ,Eros International Media Limited,10,-,10,0
ESSARSHPNG,EQ,Essar Shipping Limited,10,-,10,0
ESTER,EQ,Ester Industries Limited,10,-,10,0
EUROTEXIND,EQ,Eurotex Industries and Exports Limited,10,-,10,0
GISOLUTION,EQ,GI Engineering Solutions Limited,10,-,10,0
GREENPANEL,EQ,Greenpanel Industries Limited,10,-,10,0
GTL,EQ,GTL Limited,10,-,10,0
GULPOLY,EQ,Gulshan Polyols Limited,10,-,10,0
HCL-INSYS,EQ,HCL Infosystems Limited,10,-,10,0
HNDFDS,EQ,Hindustan Foods Limited,10,-,10,0
HOVS,EQ,HOV Services Limited,10,-,10,0
HPIL,ST,Hindprakash Industries Limited,10,-,10,0
IBVENTURES,EQ,Indiabulls Ventures Limited,10,-,10,0
IITL,EQ,Industrial Investment Trust Limited,10,-,10,0
INDSWFTLAB,EQ,Ind-Swift Laboratories Limited,10,-,10,0
INDSWFTLTD,EQ,Ind-Swift Limited,10,-,10,0
IZMO,EQ,IZMO Limited,10,-,10,0
JISLDVREQS,EQ,Jain Irrigation Systems Limited,10,-,10,0
JMTAUTOLTD,EQ,JMT Auto Limited,10,-,10,0
JPASSOCIAT,EQ,Jaiprakash Associates Limited,10,-,10,0
KARDA,EQ,Karda Constructions Limited,10,-,10,0
LAKSHVILAS,EQ,Lakshmi Vilas Bank Limited,10,-,10,0
LPDC,EQ,Landmark Property Development Company Limited,10,-,10,0
MAHASTEEL,EQ,Mahamaya Steel Industries Limited,10,-,10,0
MANAKCOAT,EQ,Manaksia Coated Metals & Industries Limited,10,-,10,0
MARALOVER,EQ,Maral Overseas Limited,10,-,10,0
MBLINFRA,EQ,MBL Infrastructures Limited,10,-,10,0
MCLEODRUSS,EQ,Mcleod Russel India Limited,10,-,10,0
MEGASOFT,EQ,Megasoft Limited,10,-,10,0
MOHITIND,EQ,Mohit Industries Limited,10,-,10,0
MTNL,EQ,Mahanagar Telephone Nigam Limited,10,-,10,0
MUKANDENGG,EQ,Mukand Engineers Limited,10,-,10,0
NAGREEKCAP,EQ,Nagreeka Capital & Infrastructure Limited,10,-,10,0
NIBL,EQ,NRB Industrial Bearings Limited,10,-,10,0
NITCO,EQ,Nitco Limited,10,-,10,0
NOIDATOLL,EQ,Noida Toll Bridge Company Limited,10,-,10,0
OISL,EQ,OCL Iron and Steel Limited,10,-,10,0
OMAXAUTO,EQ,Omax Autos Limited,10,-,10,0
OPTIEMUS,EQ,Optiemus Infracom Limited,10,-,10,0
OPTOCIRCUI,EQ,Opto Circuits (India) Limited,10,-,10,0
ORISSAMINE,EQ,The Orissa Minerals Development Company Limited,10,-,10,0
ORTINLABSS,EQ,Ortin Laboratories Limited,10,-,10,0
PANACHE,EQ,Panache Digilife Limited,10,-,10,0
PDMJEPAPER,EQ,Pudumjee Paper Products Limited,10,-,10,0
PGEL,EQ,PG Electroplast Limited,10,-,10,0
PODDARHOUS,EQ,Poddar Housing and Development Limited,10,-,10,0
PROZONINTU,EQ,Prozone Intu Properties Limited,10,-,10,0
PSL,EQ,PSL Limited,10,-,10,0
REFEX,EQ,Refex Industries Limited,10,-,10,0
RELINFRA,EQ,Reliance Infrastructure Limited,10,-,10,0
ROLLT,EQ,Rollatainers Limited,10,-,10,0
RTNPOWER,EQ,RattanIndia Power Limited,10,-,10,0
RUBYMILLS,EQ,The Ruby Mills Limited,10,-,10,0
RUSHIL,EQ,Rushil Decor Limited,10,-,10,0
SABTN,EQ,Sri Adhikari Brothers Television Network Limited,10,-,10,0
SAMBHAAV,EQ,Sambhaav Media Limited,10,-,10,0
SANWARIA,EQ,Sanwaria Consumer Limited,10,-,10,0
SHANKARA,EQ,Shankara Building Products Limited,10,-,10,0
SHILPAMED,EQ,Shilpa Medicare Limited,10,-,10,0
SHREERAMA,EQ,Shree Rama Multi-Tech Limited,10,-,10,0
SHUBHLAXMI,SM,Shubhlaxmi Jewel Art Limited,10,-,10,0
SOMATEX,EQ,Soma Textiles & Industries Limited,10,-,10,0
SPMLINFRA,EQ,SPML Infra Limited,10,-,10,0
STCINDIA,EQ,The State Trading Corporation of India Limited,10,-,10,0
SUZLON,EQ,Suzlon Energy Limited,10,-,10,0
TANLA,EQ,Tanla Solutions Limited,10,-,10,0
TCIFINANCE,EQ,Tci Finance Limited,10,-,10,0
TECHIN,EQ,Techindia Nirman Limited,10,-,10,0
TMRVL,EQ,The Mandhana Retail Ventures Limited,10,-,10,0
TOKYOPLAST,EQ,Tokyo Plast International Limited,10,-,10,0
TOUCHWOOD,EQ,Touchwood Entertainment Limited,10,-,10,0
TREEHOUSE,EQ,Tree House Education & Accessories Limited,10,-,10,0
TVSELECT,EQ,TVS Electronics Limited,10,-,10,0
UMESLTD,EQ,Usha Martin Education & Solutions Limited,10,-,10,0
VAISHALI,EQ,Vaishali Pharma Limited,10,-,10,0
VASWANI,EQ,Vaswani Industries Limited,10,-,10,0
VENUSREM,EQ,Venus Remedies Limited,10,-,10,0
VIKASECO,EQ,Vikas EcoTech Limited,10,-,10,0
VISASTEEL,EQ,Visa Steel Limited,10,-,10,0
WELINV,EQ,Welspun Investments and Commercials Limited,10,-,10,0
20MICRONS,EQ,20 Microns Limited,20,-,20,0
3IINFOTECH,EQ,3i Infotech Limited,20,-,20,0
3MINDIA,EQ,3M India Limited,20,-,20,0
5PAISA,EQ,5Paisa Capital Limited,20,-,20,0
63MOONS,EQ,63 moons technologies limited,20,-,20,0
A2ZINFRA,EQ,A2Z Infra Engineering Limited,20,-,20,0
AARON,SM,Aaron Industries Limited,20,-,20,0
AARTIDRUGS,EQ,Aarti Drugs Limited,20,-,20,0
AARTIIND,EQ,Aarti Industries Limited,20,-,20,0
AARVEEDEN,EQ,Aarvee Denims & Exports Limited,20,-,20,0
AAVAS,EQ,Aavas Financiers Limited,20,-,20,0
ABB,EQ,ABB India Limited,20,-,20,0
ABBOTINDIA,EQ,Abbott India Limited,20,-,20,0
ABCAPITAL,EQ,Aditya Birla Capital Limited,20,-,20,0
ABFRL,EQ,Aditya Birla Fashion and Retail Limited,20,-,20,0
ABNINT,IT,A B N Intercorp Limited,20,-,20,0
ABSLBANETF,EQ,Aditya Birla Sun Life Mutual Fund - Aditya Birla Sun Life Banking ETF,20,-,20,0
ABSLNN50ET,EQ,Aditya Birla Sun Life Nifty Next 50 ETF,20,-,20,0
ACCELYA,EQ,Accelya Solutions India Limited,20,-,20,0
ACCORD,SM,Accord Synergy Limited,20,-,20,0
ACE,EQ,Action Construction Equipment Limited,20,-,20,0
ADANIGAS,EQ,Adani Gas Limited,20,-,20,0
ADANITRANS,EQ,Adani Transmission Limited,20,-,20,0
ADFFOODS,EQ,ADF Foods Limited,20,-,20,0
ADORWELD,EQ,Ador Welding Limited,20,-,20,0
ADVANIHOTR,EQ,Advani Hotels & Resorts (India) Limited,20,-,20,0
ADVENZYMES,EQ,Advanced Enzyme Technologies Limited,20,-,20,0
AEGISCHEM,EQ,Aegis Logistics Limited,20,-,20,0
AFFLE,EQ,Affle (India) Limited,20,-,20,0
AGARIND,EQ,Agarwal Industrial Corporation Limited,20,-,20,0
AGRITECH,EQ,Agri-Tech (India) Limited,20,-,20,0
AHIMSA,SM,Ahimsa Industries Limited,20,-,20,0
AHLADA,SM,Ahlada Engineers Limited,20,-,20,0
AHLEAST,EQ,Asian Hotels (East) Limited,20,-,20,0
AHLUCONT,EQ,Ahluwalia Contracts (India) Limited,20,-,20,0
AHLWEST,EQ,Asian Hotels (West) Limited,20,-,20,0
AIAENG,EQ,AIA Engineering Limited,20,-,20,0
AIROLAM,SM,Airo Lam limited,20,-,20,0
AJANTPHARM,EQ,Ajanta Pharma Limited,20,-,20,0
AJMERA,EQ,Ajmera Realty & Infra India Limited,20,-,20,0
AKG,SM,Akg Exim Limited,20,-,20,0
AKSHARCHEM,EQ,AksharChem India Limited,20,-,20,0
AKZOINDIA,EQ,Akzo Nobel India Limited,20,-,20,0
ALBERTDAVD,EQ,Albert David Limited,20,-,20,0
ALBK,EQ,Allahabad Bank,20,-,20,0
ALEMBICLTD,EQ,Alembic Limited,20,-,20,0
ALICON,EQ,Alicon Castalloy Limited,20,-,20,0
ALKALI,EQ,Alkali Metals Limited,20,-,20,0
ALKEM,EQ,Alkem Laboratories Limited,20,-,20,0
ALKYLAMINE,EQ,Alkyl Amines Chemicals Limited,20,-,20,0
ALLCARGO,EQ,Allcargo Logistics Limited,20,-,20,0
ALLSEC,EQ,Allsec Technologies Limited,20,-,20,0
ALPA,EQ,Alpa Laboratories Limited,20,-,20,0
ALPHAGEO,EQ,Alphageo (India) Limited,20,-,20,0
AMBANIORG,SM,Ambani Organics Limited,20,-,20,0
AMBER,EQ,Amber Enterprises India Limited,20,-,20,0
AMBIKCO,EQ,Ambika Cotton Mills Limited,20,-,20,0
AMDIND,EQ,AMD Industries Limited,20,-,20,0
AMJLAND,EQ,Amj Land Holdings Limited,20,-,20,0
AMRUTANJAN,EQ,Amrutanjan Health Care Limited,20,-,20,0
ANANTRAJ,EQ,Anant Raj Limited,20,-,20,0
ANDHRABANK,EQ,Andhra Bank,20,-,20,0
ANDHRSUGAR,EQ,The Andhra Sugars Limited,20,-,20,0
ANDPAPER,EQ,ANDHRA PAPER LIMITED,20,-,20,0
ANUP,EQ,The Anup Engineering Limited,20,-,20,0
APARINDS,EQ,Apar Industries Limited,20,-,20,0
APCL,EQ,Anjani Portland Cement Limited,20,-,20,0
APCOTEXIND,EQ,Apcotex Industries Limited,20,-,20,0
APEX,EQ,Apex Frozen Foods Limited,20,-,20,0
APLAPOLLO,EQ,APL Apollo Tubes Limited,20,-,20,0
APLLTD,EQ,Alembic Pharmaceuticals Limited,20,-,20,0
APOLLO,EQ,Apollo Micro Systems Limited,20,-,20,0
APOLLOPIPE,EQ,Apollo Pipes Limited,20,-,20,0
APOLSINHOT,EQ,Apollo Sindoori Hotels Limited,20,-,20,0
APTECHT,EQ,Aptech Limited,20,-,20,0
ARCHIDPLY,EQ,Archidply Industries Limited,20,-,20,0
ARIES,EQ,Aries Agro Limited,20,-,20,0
ARMANFIN,EQ,Arman Financial Services Limited,20,-,20,0
AROGRANITE,EQ,Aro Granite Industries Limited,20,-,20,0
ARROWGREEN,EQ,Arrow Greentech Limited,20,-,20,0
ARSHIYA,EQ,Arshiya Limited,20,-,20,0
ARSSINFRA,EQ,ARSS Infrastructure Projects Limited,20,-,20,0
ARTEMISMED,EQ,Artemis Medicare Services Limited,20,-,20,0
ARTNIRMAN,SM,Art Nirman Limited,20,-,20,0
ARVEE,SM,Arvee Laboratories (India) Limited,20,-,20,0
ARVIND,EQ,Arvind Limited,20,-,20,0
ARVINDFASN,EQ,Arvind Fashions Limited,20,-,20,0
ARVSMART,EQ,Arvind SmartSpaces Limited,20,-,20,0
ASAHIINDIA,EQ,Asahi India Glass Limited,20,-,20,0
ASAHISONG,EQ,Asahi Songwon Colors Limited,20,-,20,0
ASAL,EQ,Automotive Stampings and Assemblies Limited,20,-,20,0
ASCOM,SM,Ascom Leasing & Investments Limited,20,-,20,0
ASHIANA,EQ,Ashiana Housing Limited,20,-,20,0
ASHIMASYN,EQ,Ashima Limited,20,-,20,0
ASHOKA,EQ,Ashoka Buildcon Limited,20,-,20,0
ASIANHOTNR,EQ,Asian Hotels (North) Limited,20,-,20,0
ASIANTILES,EQ,Asian Granito India Limited,20,-,20,0
ASPINWALL,EQ,Aspinwall and Company Limited,20,-,20,0
ASTEC,EQ,Astec LifeSciences Limited,20,-,20,0
ASTERDM,EQ,Aster DM Healthcare Limited,20,-,20,0
ASTRAL,EQ,Astral Poly Technik Limited,20,-,20,0
ASTRAMICRO,EQ,Astra Microwave Products Limited,20,-,20,0
ASTRAZEN,EQ,AstraZeneca Pharma India Limited,20,-,20,0
ATFL,EQ,Agro Tech Foods Limited,20,-,20,0
ATUL,EQ,Atul Limited,20,-,20,0
ATULAUTO,EQ,Atul Auto Limited,20,-,20,0
AUBANK,EQ,AU Small Finance Bank Limited,20,-,20,0
AURIONPRO,EQ,Aurionpro Solutions Limited,20,-,20,0
AUTOAXLES,EQ,Automotive Axles Limited,20,-,20,0
AUTOLITIND,EQ,Autolite (India) Limited,20,-,20,0
AVADHSUGAR,EQ,Avadh Sugar & Energy Limited,20,-,20,0
AVANTIFEED,EQ,Avanti Feeds Limited,20,-,20,0
AVENTUS,IT,Aventus Buildcon Limited,20,-,20,0
AVG,SM,AVG Logistics Limited,20,-,20,0
AVROIND,SM,AVRO INDIA LIMITED,20,-,20,0
AVSL,SM,AVSL Industries Limited,20,-,20,0
AVTNPL,EQ,AVT Natural Products Limited,20,-,20,0
AXISGOLD,EQ,Axis Mutual Fund - Axis Gold ETF,20,-,20,0
AXISNIFTY,EQ,Axis Mutual Fund - AXIS NIFTY ETF,20,-,20,0
AYMSYNTEX,EQ,AYM Syntex Limited,20,-,20,0
BABAFOOD,SM,Baba Agro Food Limited,20,-,20,0
BAJAJCON,EQ,Bajaj Consumer Care Limited,20,-,20,0
BAJAJELEC,EQ,Bajaj Electricals Limited,20,-,20,0
BAJAJHIND,EQ,Bajaj Hindusthan Sugar Limited,20,-,20,0
BAJAJHLDNG,EQ,Bajaj Holdings & Investment Limited,20,-,20,0
BALAJITELE,EQ,Balaji Telefilms Limited,20,-,20,0
BALAMINES,EQ,Balaji Amines Limited,20,-,20,0
BALAXI,EQ,Balaxi Ventures Limited,20,-,20,0
BALMLAWRIE,EQ,Balmer Lawrie & Company Limited,20,-,20,0
BALPHARMA,EQ,Bal Pharma Limited,20,-,20,0
BALRAMCHIN,EQ,Balrampur Chini Mills Limited,20,-,20,0
BANARBEADS,EQ,Banaras Beads Limited,20,-,20,0
BANARISUG,EQ,Bannari Amman Sugars Limited,20,-,20,0
BANCOINDIA,EQ,Banco Products (I) Limited,20,-,20,0
BANDHANBNK,EQ,Bandhan Bank Limited,20,-,20,0
BANKBEES,EQ,NIPPON INDIA ETF BANK BEES,20,-,20,0
BANKINDIA,EQ,Bank Of India,20,-,20,0
BASF,EQ,BASF India Limited,20,-,20,0
BASML,EQ,Bannari Amman Spinning Mills Limited,20,-,20,0
BAYERCROP,EQ,Bayer Cropscience Limited,20,-,20,0
BBL,EQ,Bharat Bijlee Limited,20,-,20,0
BBTC,EQ,Bombay Burmah Trading Corporation Limited,20,-,20,0
BBTCL,SM,B&B Triplewall Containers Limited,20,-,20,0
BDL,EQ,Bharat Dynamics Limited,20,-,20,0
BEML,EQ,BEML Limited,20,-,20,0
BEPL,EQ,Bhansali Engineering Polymers Limited,20,-,20,0
BETA,SM,Beta Drugs Limited,20,-,20,0
BFINVEST,EQ,BF Investment Limited,20,-,20,0
BGRENERGY,EQ,BGR Energy Systems Limited,20,-,20,0
BHAGERIA,EQ,Bhageria Industries Limited,20,-,20,0
BHAGYANGR,EQ,Bhagyanagar India Limited,20,-,20,0
BHAGYAPROP,EQ,Bhagyanagar Properties Limited,20,-,20,0
BHALCHANDR,IT,Bhalchandram Clothing Limited,20,-,20,0
BHANDARI,EQ,Bhandari Hosiery Exports Limited,20,-,20,0
BHARATRAS,EQ,Bharat Rasayan Limited,20,-,20,0
BHARATWIRE,EQ,Bharat Wire Ropes Limited,20,-,20,0
BIRLACABLE,EQ,Birla Cable Limited,20,-,20,0
BIRLACORPN,EQ,Birla Corporation Limited,20,-,20,0
BIRLAMONEY,EQ,Aditya Birla Money Limited,20,-,20,0
BLBLIMITED,EQ,BLB Limited,20,-,20,0
BLISSGVS,EQ,Bliss GVS Pharma Limited,20,-,20,0
BLKASHYAP,EQ,B. L. Kashyap and Sons Limited,20,-,20,0
BLS,EQ,BLS International Services Limited,20,-,20,0
BLUEDART,EQ,Blue Dart Express Limited,20,-,20,0
BLUESTARCO,EQ,Blue Star Limited,20,-,20,0
BODALCHEM,EQ,Bodal Chemicals Limited,20,-,20,0
BOMDYEING,EQ,Bombay Dyeing & Mfg Company Limited,20,-,20,0
BOROSIL,EQ,Borosil Glass Works Limited,20,-,20,0
BPL,EQ,Bpl Limited,20,-,20,0
BRIGADE,EQ,Brigade Enterprises Limited,20,-,20,0
BRNL,EQ,Bharat Road Network Limited,20,-,20,0
BROOKS,EQ,Brooks Laboratories Limited,20,-,20,0
BSE,EQ,BSE Limited,20,-,20,0
BSHSL,SM,Bombay Super Hybrid Seeds Limited,20,-,20,0
BSLGOLDETF,EQ,Aditya Birla Sun Life Gold ETF - Growth,20,-,20,0
BSLNIFTY,EQ,Aditya Birla Sun Life Nifty ETF - Growth,20,-,20,0
BSOFT,EQ,BIRLASOFT LIMITED,20,-,20,0
BUTTERFLY,EQ,Butterfly Gandhimathi Appliances Limited,20,-,20,0
BYKE,EQ,The Byke Hospitality Ltd,20,-,20,0
CANFINHOME,EQ,Can Fin Homes Limited,20,-,20,0
CANTABIL,EQ,Cantabil Retail India Limited,20,-,20,0
CAPACITE,EQ,Capacit'e Infraprojects Limited,20,-,20,0
CAPLIPOINT,EQ,Caplin Point Laboratories Limited,20,-,20,0
CARBORUNIV,EQ,Carborundum Universal Limited,20,-,20,0
CAREERP,EQ,Career Point Limited,20,-,20,0
CARERATING,EQ,CARE Ratings Limited,20,-,20,0
CASTROLIND,EQ,Castrol India Limited,20,-,20,0
CCL,EQ,CCL Products (India) Limited,20,-,20,0
CDSL,EQ,Central Depository Services (India) Limited,20,-,20,0
CEATLTD,EQ,CEAT Limited,20,-,20,0
CEBBCO,EQ,Commercial Engineers & Body Builders Co Limited,20,-,20,0
CENTENKA,EQ,Century Enka Limited,20,-,20,0
CENTRALBK,EQ,Central Bank of India,20,-,20,0
CENTRUM,EQ,Centrum Capital Limited,20,-,20,0
CENTUM,EQ,Centum Electronics Limited,20,-,20,0
CENTURYPLY,EQ,Century Plyboards (India) Limited,20,-,20,0
CERA,EQ,Cera Sanitaryware Limited,20,-,20,0
CESCVENT,EQ,CESC Ventures Limited,20,-,20,0
CGCL,EQ,Capri Global Capital Limited,20,-,20,0
CHALET,EQ,Chalet Hotels Limited,20,-,20,0
CHAMBLFERT,EQ,Chambal Fertilizers & Chemicals Limited,20,-,20,0
CHEMBOND,EQ,Chembond Chemicals Ltd,20,-,20,0
CHEMFAB,EQ,Chemfab Alkalis Limited,20,-,20,0
CHENNPETRO,EQ,Chennai Petroleum Corporation Limited,20,-,20,0
CHOLAHLDNG,EQ,Cholamandalam Financial Holdings Limited,20,-,20,0
CIGNITITEC,EQ,Cigniti Technologies Limited,20,-,20,0
CIMMCO,EQ,Cimmco Limited,20,-,20,0
CINELINE,EQ,Cineline India Limited,20,-,20,0
CLEDUCATE,EQ,CL Educate Limited,20,-,20,0
CLNINDIA,EQ,Clariant Chemicals (India) Limited,20,-,20,0
CNOVAPETRO,EQ,CIL Nova Petrochemicals Limited,20,-,20,0
COCHINSHIP,EQ,Cochin Shipyard Limited,20,-,20,0
COMPUSOFT,EQ,Compucom Software Limited,20,-,20,0
CONFIPET,EQ,Confidence Petroleum India Limited,20,-,20,0
CONSOFINVT,EQ,Consolidated Finvest & Holdings Limited,20,-,20,0
CONTROLPR,EQ,Control Print Limited,20,-,20,0
CORALFINAC,EQ,Coral India Finance & Housing Limited,20,-,20,0
CORDSCABLE,EQ,Cords Cable Industries Limited,20,-,20,0
COROMANDEL,EQ,Coromandel International Limited,20,-,20,0
CORPBANK,EQ,Corporation Bank,20,-,20,0
COSMOFILMS,EQ,Cosmo Films Limited,20,-,20,0
CPSEETF,EQ,CPSE ETF,20,-,20,0
CREDITACC,EQ,CREDITACCESS GRAMEEN LIMITED,20,-,20,0
CREST,EQ,Crest Ventures Limited,20,-,20,0
CRISIL,EQ,CRISIL Limited,20,-,20,0
CROMPTON,EQ,Crompton Greaves Consumer Electricals Limited,20,-,20,0
CSBBANK,EQ,CSB Bank Limited,20,-,20,0
CUB,EQ,City Union Bank Limited,20,-,20,0
CUBEXTUB,EQ,Cubex Tubings Limited,20,-,20,0
CUPID,EQ,Cupid Limited,20,-,20,0
CYBERTECH,EQ,Cybertech Systems And Software Limited,20,-,20,0
CYIENT,EQ,Cyient Limited,20,-,20,0
DAAWAT,EQ,LT Foods Limited,20,-,20,0
DALBHARAT,EQ,Dalmia Bharat Limited,20,-,20,0
DALMIASUG,EQ,Dalmia Bharat Sugar and Industries Limited,20,-,20,0
DAMODARIND,EQ,Damodar Industries Limited,20,-,20,0
DANGEE,SM,Dangee Dums Limited,20,-,20,0
DATAMATICS,EQ,Datamatics Global Services Limited,20,-,20,0
DBCORP,EQ,D.B.Corp Limited,20,-,20,0
DBL,EQ,Dilip Buildcon Limited,20,-,20,0
DCBBANK,EQ,DCB Bank Limited,20,-,20,0
DCI,SM,Dc Infotech And Communication Limited,20,-,20,0
DCMNVL,EQ,DCM Nouvelle Limited,20,-,20,0
DCMSHRIRAM,EQ,DCM Shriram Limited,20,-,20,0
DCW,EQ,DCW Limited,20,-,20,0
DECCANCE,EQ,Deccan Cements Limited,20,-,20,0
DEEPAKFERT,EQ,Deepak Fertilizers And Petrochemicals Corporation Limited,20,-,20,0
DEEPAKNTR,EQ,Deepak Nitrite Limited,20,-,20,0
DEEPIND,EQ,Deep Industries Limited,20,-,20,0
DELTACORP,EQ,Delta Corp Limited,20,-,20,0
DELTAMAGNT,EQ,Delta Magnets Limited,20,-,20,0
DENORA,EQ,De Nora India Limited,20,-,20,0
DEVIT,SM,Dev Information Technology Limited,20,-,20,0
DFMFOODS,EQ,DFM Foods Limited,20,-,20,0
DHAMPURSUG,EQ,Dhampur Sugar Mills Limited,20,-,20,0
DHANBANK,EQ,Dhanlaxmi Bank Limited,20,-,20,0
DHANUKA,EQ,Dhanuka Agritech Limited,20,-,20,0
DHUNINV,EQ,Dhunseri Investments Limited,20,-,20,0
DIAMONDYD,EQ,Prataap Snacks Limited,20,-,20,0
DICIND,EQ,DIC India Limited,20,-,20,0
DISHTV,EQ,Dish TV India Limited,20,-,20,0
DIXON,EQ,Dixon Technologies (India) Limited,20,-,20,0
DLINKINDIA,EQ,D-Link (India) Limited,20,-,20,0
DMART,EQ,Avenue Supermarts Limited,20,-,20,0
DOLAT,EQ,Dolat Investments Limited,20,-,20,0
DOLLAR,EQ,Dollar Industries Limited,20,-,20,0
DONEAR,EQ,Donear Industries Limited,20,-,20,0
DPABHUSHAN,SM,D. P. Abhushan Limited,20,-,20,0
DPSCLTD,EQ,DPSC Limited,20,-,20,0
DPWIRES,EQ,D P Wires Limited,20,-,20,0
DREDGECORP,EQ,Dredging Corporation of India Limited,20,-,20,0
DRSDILIP,SM,DRS Dilip Roadlines Limited,20,-,20,0
DTIL,EQ,Dhunseri Tea & Industries Limited,20,-,20,0
DUCON,EQ,Ducon Infratechnologies Limited,20,-,20,0
DVL,EQ,Dhunseri Ventures Limited,20,-,20,0
DWARKESH,EQ,Dwarikesh Sugar Industries Limited,20,-,20,0
DYNAMATECH,EQ,Dynamatic Technologies Limited,20,-,20,0
DYNPRO,EQ,Dynemic Products Limited,20,-,20,0
EBANK,EQ,Edelweiss ETF - Nifty Bank,20,-,20,0
EBBETF0423,EQ,Edelweiss Mutual Fund - BHARAT Bond  ETF - April 2023,20,-,20,0
EBBETF0430,EQ,Edelweiss Mutual Fund - BHARAT Bond  ETF - April 2030,20,-,20,0
ECLERX,EQ,eClerx Services Limited,20,-,20,0
EDELWEISS,EQ,Edelweiss Financial Services Limited,20,-,20,0
EIDPARRY,EQ,EID Parry India Limited,20,-,20,0
EIFFL,SM,Euro India Fresh Foods Limited,20,-,20,0
EIHAHOTELS,EQ,EIH Associated Hotels Limited,20,-,20,0
EIHOTEL,EQ,EIH Limited,20,-,20,0
EIMCOELECO,EQ,Eimco Elecon (India) Limited,20,-,20,0
EKC,EQ,Everest Kanto Cylinder Limited,20,-,20,0
ELECON,EQ,Elecon Engineering Company Limited,20,-,20,0
ELECTCAST,EQ,Electrosteel Castings Limited,20,-,20,0
ELECTCAST,W1,Electrosteel Castings Limited,20,-,20,0
ELECTHERM,EQ,Electrotherm (India) Limited,20,-,20,0
ELGIEQUIP,EQ,Elgi Equipments Limited,20,-,20,0
ELGIRUBCO,EQ,Elgi Rubber Company Limited,20,-,20,0
EMAMILTD,EQ,Emami Limited,20,-,20,0
EMBASSY,RR,Embassy Office Parks REIT,20,-,20,0
EMKAY,EQ,Emkay Global Financial Services Limited,20,-,20,0
EMMBI,EQ,Emmbi Industries Limited,20,-,20,0
ENDURANCE,EQ,Endurance Technologies Limited,20,-,20,0
ENGINERSIN,EQ,Engineers India Limited,20,-,20,0
ENIL,EQ,Entertainment Network (India) Limited,20,-,20,0
EQ30,EQ,Edelweiss ETF - Nifty 100 Quality 30,20,-,20,0
ERIS,EQ,Eris Lifesciences Limited,20,-,20,0
ESABINDIA,EQ,Esab India Limited,20,-,20,0
ESSELPACK,EQ,Essel Propack Limited,20,-,20,0
EVEREADY,EQ,Eveready Industries India Limited,20,-,20,0
EVERESTIND,EQ,Everest Industries Limited,20,-,20,0
EXCELINDUS,EQ,Excel Industries Limited,20,-,20,0
EXPLEOSOL,EQ,Expleo Solutions Limited,20,-,20,0
FACT,EQ,Fertilizers and Chemicals Travancore Limited,20,-,20,0
FAIRCHEM,EQ,Fairchem Speciality Limited,20,-,20,0
FCL,EQ,Fineotex Chemical Limited,20,-,20,0
FCONSUMER,EQ,Future Consumer Limited,20,-,20,0
FDC,EQ,FDC Limited,20,-,20,0
FEL,EQ,Future Enterprises Limited,20,-,20,0
FELDVR,EQ,Future Enterprises Limited,20,-,20,0
FIEMIND,EQ,Fiem Industries Limited,20,-,20,0
FILATEX,EQ,Filatex India Limited,20,-,20,0
